serious_assault_result_injury, dang_negli_acts, assault_police, prop_dam_by_fire_expl, POSTCODE, theft_from_motor_veh, blackmail_extor, receive_handle_proceeds_crime, abduc_harass_other, id, graffiti, sct_residence, common_assault, theft_from_shop, agg_robbery, murder, other_acts_intend_cause_injury, serious_assault_not_result_injury, obtain_benefit_by_decept, sct_non_residence, theft_illegal_use_mv, threatening_beh, other_hom_rel_offences, other_fraud_decep_rel_offences, month_year, total_offences, trespass_other, other_theft, non_agg_robbery, other_prop_damage_envl
0,0,0,0,"5322",0,0,0,0,2097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Apr 2019",2,0,0,0,2
20,0,5,1,"5000",19,0,18,1,21,8,7,48,72,3,0,2,14,22,18,13,7,0,7,"Apr 2019",515,8,167,1,54
0,0,1,0,"5330",1,0,0,0,2109,0,0,0,0,0,0,0,0,0,2,1,0,0,0,"Apr 2019",9,0,2,0,2
0,0,0,0,"5021",4,0,0,0,213,0,1,2,17,0,0,0,0,1,2,1,1,0,0,"Apr 2019",50,2,15,0,4
0,0,1,0,"5333",1,0,0,0,2136,0,0,1,0,0,0,0,2,1,0,0,0,0,0,"Apr 2019",11,2,2,0,1
1,0,0,0,"5341",1,0,0,0,2158,0,2,0,3,0,0,0,3,0,3,1,0,0,0,"Apr 2019",35,2,8,0,11
3,0,0,0,"5342",1,0,0,0,2168,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"Apr 2019",5,0,0,0,0
0,0,0,1,"5343",1,0,2,0,2179,0,0,0,1,0,0,1,1,1,0,0,0,0,1,"Apr 2019",20,0,3,0,8
0,0,0,0,"5344",0,0,0,0,2191,0,0,0,0,0,0,0,0,0,1,1,0,0,0,"Apr 2019",5,0,0,0,3
0,0,0,1,"5345",0,0,0,0,2203,0,3,0,0,0,0,0,3,0,0,0,0,0,0,"Apr 2019",13,0,4,0,2
0,0,0,0,"5346",0,0,0,0,2208,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"Apr 2019",1,0,0,0,0
0,0,1,0,"5351",0,0,0,0,2221,0,2,0,0,0,0,1,0,0,3,1,0,0,0,"Apr 2019",12,0,1,0,3
0,0,0,0,"5352",3,0,0,0,2233,1,1,1,1,0,0,0,2,0,0,0,0,0,0,"Apr 2019",12,1,1,0,1
0,0,0,0,"5353",0,0,0,0,2245,0,0,1,0,0,0,0,1,0,0,0,0,0,0,"Apr 2019",8,0,4,0,2
2,0,1,0,"5022",6,0,0,0,225,0,7,3,2,0,0,0,3,1,1,0,1,0,1,"Apr 2019",45,3,7,0,7
0,0,0,0,"5355",0,0,0,0,2265,0,0,4,4,0,0,0,1,0,1,1,0,0,0,"Apr 2019",24,0,13,0,0
0,0,0,0,"5357",0,0,0,0,2286,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"Apr 2019",2,0,0,0,1
0,0,0,0,"5371",0,0,0,0,2305,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Apr 2019",3,0,0,0,2
0,0,0,0,"5372",0,0,0,0,2317,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"Apr 2019",1,0,0,0,0
