SUBURB, non_agg_sex_assault, serious_assault_result_injury, assault_police, dang_negli_acts, theft_from_motor_veh, prop_dam_by_fire_expl, POSTCODE, blackmail_extor, receive_handle_proceeds_crime, abduc_harass_other, id, agg_sex_assault, graffiti, sct_residence, common_assault, theft_from_shop, agg_robbery, SUBURB_NUMBER, non_assault_sex_off, serious_assault_not_result_injury, murder, other_acts_intend_cause_injury, obtain_benefit_by_decept, sct_non_residence, theft_illegal_use_mv, threatening_beh, other_fraud_decep_rel_offences, other_hom_rel_offences, month_year, total_offences, trespass_other, other_theft, non_agg_robbery, other_prop_damage_envl
"WINGFIELD",0,0,0,0,1,0,"5013",0,0,0,227,0,0,0,0,3,0,501305,0,0,0,0,0,0,2,0,0,0,"Apr 2020",12,0,3,0,3
"EASTWOOD",0,1,0,0,2,0,"5063",0,5,0,2277,0,0,1,0,0,0,506301,0,1,0,0,0,1,0,0,0,0,"Apr 2020",25,0,10,0,4
"FREWVILLE",0,1,1,0,0,0,"5063",0,0,0,2290,0,0,0,0,2,0,506302,0,1,0,0,0,2,0,0,0,0,"Apr 2020",10,0,1,0,2
"FULLARTON",0,0,0,0,0,0,"5063",0,1,0,2302,0,0,1,0,0,0,506303,0,1,0,0,0,0,1,0,0,0,"Apr 2020",13,0,7,0,2
"HIGHGATE",0,0,0,0,1,0,"5063",0,0,0,2312,0,0,0,0,0,0,506304,0,0,0,0,0,0,0,0,0,0,"Apr 2020",2,0,1,0,0
"PARKSIDE",0,0,0,0,4,0,"5063",0,0,0,2324,0,0,2,0,1,0,506305,0,0,0,0,1,3,1,1,0,0,"Apr 2020",24,1,6,0,4
"GLEN OSMOND",0,0,1,0,1,0,"5064",0,0,0,2336,0,0,0,0,3,0,506401,0,1,0,0,0,0,0,0,0,0,"Apr 2020",15,1,8,0,0
"GLENUNGA",0,0,0,0,1,0,"5064",0,0,0,2348,0,1,0,0,2,0,506402,0,0,0,0,1,2,0,0,0,0,"Apr 2020",12,1,3,0,1
"MYRTLE BANK",0,0,0,0,2,0,"5064",0,0,0,2362,0,0,0,0,0,0,506404,0,0,0,0,0,0,0,0,0,0,"Apr 2020",5,1,1,0,1
"ST GEORGES",0,0,0,0,1,0,"5064",0,1,0,2371,0,0,1,0,0,0,506405,0,0,0,0,0,0,0,0,0,0,"Apr 2020",7,0,2,0,2
"URRBRAE",0,0,0,0,0,0,"5064",0,0,0,2378,0,0,0,0,0,0,506406,0,0,0,0,1,0,0,0,0,0,"Apr 2020",4,0,1,0,2
"DULWICH",0,0,0,0,0,0,"5065",0,0,0,2390,0,0,1,0,0,0,506501,0,0,0,0,0,0,0,0,0,0,"Apr 2020",5,0,2,0,2
"ALBERT PARK",0,1,0,0,3,0,"5014",0,0,0,240,0,0,1,1,0,0,501402,0,3,0,0,0,0,0,0,0,0,"Apr 2020",10,0,1,0,0
"GLENSIDE",0,1,0,0,2,0,"5065",0,0,0,2402,0,0,1,0,0,0,506502,0,2,0,0,0,3,1,1,0,0,"Apr 2020",25,2,9,0,3
"LINDEN PARK",0,0,0,0,0,0,"5065",0,0,0,2414,0,0,0,0,0,0,506503,0,0,0,0,0,1,0,0,0,0,"Apr 2020",4,1,2,0,0
"TOORAK GARDENS",0,0,0,0,2,0,"5065",0,0,0,2426,0,0,0,0,0,0,506504,0,0,0,0,0,0,0,0,0,0,"Apr 2020",3,0,1,0,0
"TUSMORE",0,0,0,0,1,0,"5065",0,0,0,2436,0,0,1,0,0,0,506505,0,0,0,0,0,1,1,0,0,0,"Apr 2020",5,0,1,0,0
"BEAUMONT",0,0,0,0,1,0,"5066",0,0,0,2445,0,0,0,0,0,0,506601,0,0,0,0,0,0,0,0,0,0,"Apr 2020",2,0,1,0,0
"BURNSIDE",0,0,0,0,0,0,"5066",0,0,0,2456,0,0,0,0,0,0,506602,0,1,0,0,0,0,0,0,0,0,"Apr 2020",3,0,1,0,1
"ERINDALE",0,0,0,0,0,0,"5066",0,0,0,2466,0,0,0,0,0,0,506603,0,0,0,0,0,1,1,0,0,0,"Apr 2020",3,0,1,0,0
"HAZELWOOD PARK",0,0,0,0,1,0,"5066",0,0,0,2478,0,0,0,0,0,0,506604,0,0,0,0,0,0,0,0,0,0,"Apr 2020",1,0,0,0,0
"STONYFELL",0,0,0,0,1,0,"5066",0,0,0,2488,0,0,0,0,0,0,506605,0,0,0,0,0,0,0,0,0,0,"Apr 2020",1,0,0,0,0
"BEULAH PARK",0,0,0,0,1,0,"5067",0,0,0,2508,0,0,0,0,0,0,506701,0,0,0,0,0,1,0,0,0,0,"Apr 2020",2,0,0,0,0
"ALBERTON",0,1,0,0,3,0,"5014",0,2,0,252,0,0,2,0,4,0,501401,0,2,0,0,0,2,1,0,0,0,"Apr 2020",19,0,1,0,1
"KENT TOWN",0,0,0,0,0,0,"5067",0,0,0,2520,0,0,0,0,3,0,506702,0,0,0,0,0,1,0,0,0,0,"Apr 2020",6,0,1,0,1
