SUBURB, non_agg_sex_assault, serious_assault_result_injury, assault_police, dang_negli_acts, theft_from_motor_veh, prop_dam_by_fire_expl, POSTCODE, blackmail_extor, receive_handle_proceeds_crime, abduc_harass_other, id, agg_sex_assault, graffiti, sct_residence, common_assault, theft_from_shop, agg_robbery, SUBURB_NUMBER, non_assault_sex_off, serious_assault_not_result_injury, murder, other_acts_intend_cause_injury, obtain_benefit_by_decept, sct_non_residence, theft_illegal_use_mv, threatening_beh, other_fraud_decep_rel_offences, other_hom_rel_offences, month_year, total_offences, trespass_other, other_theft, non_agg_robbery, other_prop_damage_envl
"HIGHGATE",0,0,0,0,0,0,"5063",0,0,0,2307,0,0,0,0,0,0,506304,0,0,0,0,0,0,0,0,0,0,"Nov 2019",2,0,1,0,1
"PARKSIDE",0,0,0,0,3,0,"5063",0,0,0,2317,0,2,1,0,1,0,506305,0,4,0,0,0,2,1,0,0,0,"Nov 2019",26,1,7,0,4
"GLEN OSMOND",0,0,0,0,1,0,"5064",0,0,0,2329,0,0,1,1,2,0,506401,0,0,0,0,0,0,0,0,0,0,"Nov 2019",11,0,6,0,0
"ALBERT PARK",0,0,0,0,3,0,"5014",0,0,0,233,0,0,1,1,0,0,501402,0,0,0,0,0,0,0,0,0,0,"Nov 2019",9,0,2,0,2
"GLENUNGA",0,0,0,0,1,0,"5064",0,0,0,2341,0,0,1,0,0,0,506402,0,0,0,0,0,0,0,0,0,0,"Nov 2019",8,0,5,0,1
"MYRTLE BANK",0,0,0,0,0,0,"5064",0,0,0,2355,0,0,4,0,0,0,506404,0,1,0,0,0,0,0,0,0,0,"Nov 2019",9,0,4,0,0
"ST GEORGES",0,0,0,0,0,0,"5064",0,0,0,2366,0,0,0,0,0,0,506405,0,0,0,0,0,0,0,0,0,0,"Nov 2019",2,0,1,0,1
"URRBRAE",0,0,0,0,0,0,"5064",0,0,0,2374,0,1,0,0,0,0,506406,0,0,0,0,0,0,0,0,0,0,"Nov 2019",2,0,1,0,0
"DULWICH",0,0,0,0,1,0,"5065",0,0,0,2383,0,0,0,0,0,0,506501,0,1,0,0,0,0,1,0,0,0,"Nov 2019",5,0,2,0,0
"GLENSIDE",0,0,0,0,0,0,"5065",0,0,0,2395,0,0,2,1,0,0,506502,0,2,0,0,0,0,0,0,0,0,"Nov 2019",13,0,7,0,1
"LINDEN PARK",0,1,0,0,0,0,"5065",0,0,0,2407,0,0,0,0,0,0,506503,0,0,0,0,0,0,0,0,0,0,"Nov 2019",2,0,0,0,1
"TOORAK GARDENS",0,0,0,0,0,0,"5065",0,0,0,2419,0,0,0,0,0,0,506504,0,0,0,0,0,0,0,0,0,0,"Nov 2019",1,0,1,0,0
"BEAUMONT",0,0,0,0,0,0,"5066",0,0,0,2440,0,0,1,0,0,0,506601,0,0,0,0,0,0,0,0,0,0,"Nov 2019",1,0,0,0,0
"ALBERTON",0,1,0,0,5,0,"5014",0,0,0,245,0,0,4,0,3,0,501401,0,0,0,0,0,0,1,0,0,0,"Nov 2019",22,0,5,0,3
"BURNSIDE",0,0,0,0,0,0,"5066",0,0,0,2450,0,0,0,0,0,0,506602,0,0,0,0,0,0,0,0,0,0,"Nov 2019",1,0,0,0,1
"ERINDALE",0,0,0,0,1,0,"5066",0,0,0,2460,0,0,0,0,0,0,506603,0,0,0,0,1,0,0,0,0,0,"Nov 2019",3,0,1,0,0
"HAZELWOOD PARK",0,0,0,0,1,0,"5066",0,0,0,2471,0,0,0,0,0,0,506604,0,1,0,0,0,1,0,0,0,0,"Nov 2019",3,0,0,0,0
"WATTLE PARK",0,0,0,0,1,0,"5066",0,0,0,2492,0,0,0,0,0,0,506607,0,0,0,0,0,0,0,0,1,0,"Nov 2019",2,0,0,0,0
"BEULAH PARK",0,0,0,0,0,0,"5067",0,0,0,2501,0,0,0,0,0,0,506701,0,0,0,0,0,1,0,0,0,0,"Nov 2019",1,0,0,0,0
"KENT TOWN",0,0,0,0,3,0,"5067",0,1,1,2513,0,0,0,0,1,0,506702,0,0,0,0,0,1,0,0,0,0,"Nov 2019",16,0,9,0,0
