SUBURB, non_agg_sex_assault, serious_assault_result_injury, assault_police, dang_negli_acts, theft_from_motor_veh, prop_dam_by_fire_expl, POSTCODE, blackmail_extor, receive_handle_proceeds_crime, abduc_harass_other, id, agg_sex_assault, graffiti, sct_residence, common_assault, theft_from_shop, agg_robbery, SUBURB_NUMBER, non_assault_sex_off, serious_assault_not_result_injury, murder, other_acts_intend_cause_injury, obtain_benefit_by_decept, sct_non_residence, theft_illegal_use_mv, threatening_beh, other_fraud_decep_rel_offences, other_hom_rel_offences, month_year, total_offences, trespass_other, other_theft, non_agg_robbery, other_prop_damage_envl
"KENSINGTON PARK",0,0,0,0,2,0,"5068",0,0,0,1980,0,0,0,0,1,0,506804,0,1,0,0,0,0,0,0,0,0,"Dec 2019",8,1,2,0,1
"LEABROOK",0,0,0,0,1,0,"5068",0,0,0,1992,0,0,0,0,0,0,506805,0,1,0,0,0,0,0,0,0,0,"Dec 2019",3,0,0,0,1
"MARRYATVILLE",0,0,0,0,1,1,"5068",0,0,0,2004,0,0,0,0,0,0,506806,0,0,0,0,0,0,0,0,0,0,"Dec 2019",5,0,2,0,1
"ST MORRIS",0,0,0,0,0,0,"5068",0,0,0,2015,0,0,0,0,0,0,506807,0,0,0,0,0,0,0,0,0,0,"Dec 2019",4,0,2,0,2
"TRINITY GARDENS",0,0,0,0,2,0,"5068",0,0,0,2026,0,0,0,0,1,0,506808,0,0,0,0,0,0,0,0,0,0,"Dec 2019",5,0,1,0,1
"JOSLIN",0,0,0,0,0,0,"5070",0,0,0,2047,0,0,1,0,0,0,507004,0,0,0,0,0,0,0,0,0,0,"Dec 2019",1,0,0,0,0
"MARDEN",0,0,0,0,2,0,"5070",0,0,0,2056,0,0,2,0,5,0,507005,0,0,0,0,0,0,0,0,0,0,"Dec 2019",13,0,4,0,0
"PAYNEHAM",0,0,0,0,0,0,"5070",0,0,0,2068,0,0,3,0,0,0,507006,0,0,0,0,3,0,1,0,0,0,"Dec 2019",13,0,4,0,2
"ROSEWATER",0,2,0,0,5,1,"5013",0,1,0,207,0,0,4,0,5,0,501304,0,2,0,0,1,2,1,0,0,0,"Dec 2019",36,0,7,0,5
"PAYNEHAM SOUTH",0,0,0,0,1,0,"5070",0,0,0,2080,0,0,0,0,0,0,507007,0,0,0,0,0,0,0,0,0,0,"Dec 2019",3,0,2,0,0
"ROYSTON PARK",0,0,0,0,0,0,"5070",0,0,0,2091,0,0,1,0,0,0,507008,0,0,0,0,0,1,0,0,0,0,"Dec 2019",6,1,3,0,0
"MAGILL",0,0,0,0,7,0,"5072",0,0,1,2109,0,0,5,1,1,0,507202,0,1,0,0,1,0,1,0,1,0,"Dec 2019",29,1,5,0,4
"ROSSLYN PARK",0,0,0,0,1,0,"5072",0,0,0,2121,0,0,0,0,0,0,507203,0,0,0,0,0,0,0,0,0,0,"Dec 2019",1,0,0,0,0
"EVANDALE",0,0,0,0,2,0,"5069",0,0,0,2131,0,0,1,0,1,0,506902,0,1,0,0,0,0,0,0,0,0,"Dec 2019",10,0,4,0,1
"HACKNEY",0,0,0,0,0,0,"5069",0,0,0,2143,0,0,2,0,0,0,506903,0,0,0,0,0,0,1,0,0,0,"Dec 2019",6,0,3,0,0
"MAYLANDS",0,0,0,0,3,0,"5069",0,0,0,2155,0,0,1,0,0,0,506904,0,0,0,0,0,0,1,0,0,0,"Dec 2019",7,1,0,0,1
"ST PETERS",0,0,0,0,3,0,"5069",0,0,0,2167,0,0,1,0,3,0,506906,0,0,0,0,0,0,0,0,0,0,"Dec 2019",14,1,4,0,2
"STEPNEY",0,1,0,0,3,0,"5069",0,1,0,2179,0,0,1,1,2,0,506905,0,0,0,0,0,0,1,0,1,0,"Dec 2019",24,1,12,0,0
"WINGFIELD",0,1,0,0,1,0,"5013",0,0,0,219,0,0,0,0,1,0,501305,0,1,0,0,0,1,0,0,0,0,"Dec 2019",17,1,10,0,1
"FELIXSTOW",0,0,0,0,1,0,"5070",0,0,0,2191,0,0,0,0,1,0,507001,0,0,0,0,1,0,0,0,2,0,"Dec 2019",13,0,7,0,1
"FIRLE",0,0,0,0,2,0,"5070",0,0,0,2203,0,0,0,1,1,0,507002,0,1,0,0,0,0,0,0,0,0,"Dec 2019",7,0,2,0,0
"GLYNDE",0,0,0,0,1,0,"5070",0,0,0,2215,0,0,1,1,0,0,507003,0,0,0,0,0,0,0,0,1,0,"Dec 2019",7,1,1,0,1
"MITCHAM",0,0,0,0,0,0,"5062",0,0,0,2227,0,0,0,0,0,0,506207,0,1,0,0,0,0,0,0,1,0,"Dec 2019",2,0,0,0,0
"NETHERBY",0,1,0,0,2,0,"5062",0,0,0,2239,0,0,0,0,0,0,506208,0,0,0,0,0,1,0,0,0,0,"Dec 2019",7,0,0,0,3
"SPRINGFIELD",0,0,0,0,0,0,"5062",0,0,0,2250,0,0,1,0,0,0,506209,0,0,0,0,0,0,0,0,0,0,"Dec 2019",1,0,0,0,0
"TORRENS PARK",0,0,0,0,2,0,"5062",0,0,0,2257,0,0,0,0,0,0,506210,0,1,0,0,0,0,0,0,0,0,"Dec 2019",7,0,3,0,1
"EASTWOOD",0,0,0,0,1,0,"5063",0,0,0,2269,0,0,1,1,0,0,506301,0,0,0,0,0,0,1,0,0,0,"Dec 2019",8,0,1,0,3
"FREWVILLE",0,0,0,0,2,0,"5063",0,0,0,2282,0,1,0,0,2,0,506302,0,0,0,0,0,1,0,0,0,0,"Dec 2019",8,0,0,0,2
"FULLARTON",0,0,0,0,3,1,"5063",0,0,0,2294,0,0,1,0,2,0,506303,0,1,0,1,0,0,0,0,1,0,"Dec 2019",20,0,9,0,1
"HIGHGATE",0,0,0,0,1,0,"5063",0,0,0,2306,0,0,1,0,0,0,506304,0,0,0,0,0,0,0,0,0,0,"Dec 2019",3,0,1,0,0
"PARKSIDE",0,0,0,0,5,1,"5063",0,0,0,2316,0,0,2,0,0,0,506305,0,2,0,0,0,3,3,0,0,0,"Dec 2019",33,0,9,0,8
"ALBERT PARK",0,0,0,0,4,0,"5014",0,1,0,232,0,0,2,0,1,0,501402,0,0,0,0,1,0,1,0,0,0,"Dec 2019",16,2,0,0,4
"GLEN OSMOND",0,0,0,0,1,0,"5064",0,1,0,2328,0,0,1,0,2,0,506401,0,2,0,0,0,1,1,0,0,0,"Dec 2019",23,0,13,0,1
"GLENUNGA",0,0,0,0,0,0,"5064",0,0,0,2340,0,0,4,0,1,0,506402,0,0,0,0,0,1,0,0,0,0,"Dec 2019",12,0,5,0,1
"MOUNT OSMOND",0,0,0,0,0,0,"5064",0,0,0,2352,0,0,0,0,0,0,506403,0,0,0,0,0,0,0,0,0,0,"Dec 2019",1,0,0,0,1
"MYRTLE BANK",0,0,0,0,1,0,"5064",0,0,0,2354,0,0,2,0,0,0,506404,0,1,0,0,0,0,0,0,0,0,"Dec 2019",4,0,0,0,0
"DULWICH",0,0,0,0,1,0,"5065",0,0,0,2382,0,0,0,1,0,0,506501,0,0,0,0,0,0,0,0,0,0,"Dec 2019",5,0,1,0,2
"GLENSIDE",0,0,0,0,0,0,"5065",0,0,0,2394,0,0,2,0,1,1,506502,0,2,0,0,0,0,0,0,0,0,"Dec 2019",22,0,9,0,7
"LINDEN PARK",0,0,0,0,0,0,"5065",0,0,0,2406,0,0,1,0,0,1,506503,0,2,0,0,0,1,0,0,0,0,"Dec 2019",9,1,1,0,2
"TOORAK GARDENS",0,0,0,0,3,0,"5065",0,0,0,2418,0,0,0,0,0,0,506504,0,0,0,0,0,2,0,0,0,0,"Dec 2019",10,0,4,0,1
"TUSMORE",0,0,0,0,1,0,"5065",0,0,0,2430,0,0,2,0,0,0,506505,0,0,0,0,1,0,0,0,0,0,"Dec 2019",4,0,0,0,0
"BEAUMONT",0,0,0,0,0,0,"5066",0,0,0,2439,0,0,1,0,0,0,506601,0,0,0,0,0,0,0,0,0,0,"Dec 2019",2,1,0,0,0
"ALBERTON",0,1,1,0,1,0,"5014",0,0,0,244,0,0,6,1,2,0,501401,0,2,0,0,0,0,1,0,0,0,"Dec 2019",25,1,3,0,6
"BURNSIDE",0,0,0,0,0,0,"5066",0,0,0,2449,0,0,1,0,0,0,506602,0,0,0,0,0,0,0,0,0,0,"Dec 2019",2,0,0,0,1
"ERINDALE",0,0,0,0,0,0,"5066",0,0,0,2459,0,0,3,0,0,0,506603,0,0,0,0,0,0,1,0,0,0,"Dec 2019",7,0,3,0,0
"HAZELWOOD PARK",0,0,0,0,0,0,"5066",0,0,0,2470,0,0,0,0,0,0,506604,0,0,0,0,1,0,0,0,0,0,"Dec 2019",3,0,1,0,1
"STONYFELL",0,0,0,0,1,0,"5066",0,0,0,2482,0,0,0,0,0,0,506605,0,0,0,0,0,0,0,0,0,0,"Dec 2019",1,0,0,0,0
"WATTLE PARK",0,1,0,0,0,0,"5066",0,0,0,2491,0,0,0,0,0,0,506607,0,0,0,0,0,0,0,0,0,0,"Dec 2019",1,0,0,0,0
